dept_name;state;notFound;notMatched
Kennebec County Sheriff's Office;ME;False;False
Hamilton County Sheriff's Office;OH;False;False
Cedar County Sheriff's Office;NE;False;False
Wright County Sheriff's Office;MN;False;False
Uniontown Police Department;PA;False;False
Augusta Police Department;ME;False;False
Newport Police Department;KY;False;False
Karnes County Sheriff's Department;TX;False;False
Cedar Rapids Police Department;IA;False;False
Elliott County Constable's Office;KY;False;False
Cooke County Constable's Office - Precinct 5;TX;False;False
Marquette County Sheriff's Office;MI;False;False
Jewel Marshal's Office;KS;False;False
Seminole Nation of Oklahoma Lighthorsemen Police;TR;False;False
Warsaw Police Department;MO;False;False
Fannin County Sheriff's Office;TX;False;False
New Straitsville Police Department;OH;False;False
Shasta County Sheriff's Department;CA;False;False
Butler County Sheriff's Office;KS;False;False
Comanche County Sheriff's Department;TX;False;False
Joplin Police Department;MO;False;False
Hastings Police Department;NE;False;False
Springfield Police Department;IL;False;False
Geneva Police Department;IL;False;False
Bastrop County Constable's Office - Precinct 6;TX;False;False
Evanston Police Department;IL;False;False
Culpeper County Constable's Office;VA;False;False
Orange County Sheriff's Office;TX;False;False
Mitchell County Sheriff's Office;TX;False;False
Rapid City Police Department;SD;False;False
Graham County Sheriff's Office;AZ;False;False
Bradford County Sheriff's Office;FL;False;False
Lavaca County Constable's Office - Precinct 1;TX;False;False
Little Rock Police Department;AR;False;False
Colfax County Sheriff's Department;NE;False;False
Milledgeville Police Department;GA;False;False
Pope County Sheriff's Department;IL;False;False
Cheshire County Sheriff's Office;NH;False;False
Spokane Police Department;WA;False;False
South Bend Police Department;IN;False;False
Bartow Police Department;FL;False;False
Shannon Police Department;IL;False;False
Avoca Police Department;IA;False;False
Moundsville Police Department;WV;False;False
Johnson County Sheriff's Office;WY;False;False
Hood County Sheriff's Office;TX;False;False
Casey County Sheriff's Office;KY;False;False
Bell County Constable's Office - Precinct 6;TX;False;False
Ballinger Police Department;TX;False;False
Montgomery Police Department;AL;False;False
Jones County Sheriff's Department;TX;False;False
Longview Police Department;TX;False;False
Jefferson Township Constable's Office;IN;False;False
Fannin County Constable's Office - Precinct 1;TX;False;False
Rains County Sheriff's Department;TX;False;False
Maine Department of Inland Fisheries and Wildlife - Warden Service;ME;False;False
Albuquerque Police Department;NM;False;False
Parsons Police Department;KS;False;False
La Salle County Sheriff's Office;TX;False;False
Lake Shore and Michigan Southern Railroad Police Department;RR;False;False
Chester County Sheriff's Office;PA;False;False
Seneca County Sheriff's Department;NY;False;False
Grant County Sheriff's Office;AR;False;False
United States Department of the Treasury - Guard Force;US;False;False
Milam County Sheriff's Office;TX;False;False
Georgetown Police Department;OH;False;False
Oak Ridge Marshal's Office;LA;False;False
Madison County Sheriff's Office;AL;False;False
Pineville Police Department;KY;False;False
Craig Constable's Office;MO;False;False
Alpena County Sheriff's Department;MI;False;False
Decatur Police Department;GA;False;False
Smith County Sheriff's Office;TN;False;False
Matagorda County Constable's Office - Precinct 3;TX;False;False
Cuero Police Department;TX;False;False
Travis County Sheriff's Office;TX;False;False
Arapahoe County Sheriff's Office;CO;False;False
Union Parish Ward 8 Constable's Office;LA;False;False
Hickman County Sheriff's Office;KY;False;False
Tuscaloosa County Sheriff's Department;AL;False;False
New Canaan Police Department;CT;False;False
Gonzales County Sheriff's Department;TX;False;False
San Mateo County Sheriff's Office;CA;False;False
Ashland County Sheriff's Department;OH;False;False
Columbus Police Department;KS;False;False
Chicago and Alton Railroad Police Department;RR;False;False
Nelsonville Police Department;OH;False;False
Cloverdale Police Department;CA;False;False
Monroe Police Department;NC;False;False
Knox County Sheriff's Office;TN;False;False
Fannin County Constable's Office - Precinct 7;TX;False;False
Scott County Constable's Office;KY;False;False
Grant County Sheriff's Department;OR;False;False
Summersville Police Department;MO;False;False
Washington County Sheriff's Office;VA;False;False
Stevens County Sheriff's Office;KS;False;False
St. Louis Park Rangers;MO;False;False
Springfield Police Department;MO;False;False
Cedarville Police Department;OH;False;False
Cheney Police Department;WA;False;False
Moorhead Police Department;MN;False;False
Elkhart Police Department;IN;False;False
Meridian Police Department;MS;False;False
Gadsden Police Department;AL;False;False
Le Mars Police Department;IA;False;False
Newark Police Department;OH;False;False
Grant County Sheriff's Department;IN;False;False
Nogales Police Department;AZ;False;False
Dover Police Department;NH;False;False
Charlottesville Police Department;VA;False;False
Washington County Sheriff's Department;ME;False;False
Potter County Constable's Office - Precinct 1;TX;False;False
Cass County Constable's Office - Precinct 6;TX;False;False
Saugus Police Department;MA;False;False
Scranton Police Department;PA;False;False
Renovo Borough Police Department;PA;False;False
Bessemer Police Department;AL;False;False
Grainger County Sheriff's Department;TN;False;False
Kansas City Police Department;KS;False;False
Temple Police Department;TX;False;False
Johnstown Police Department;PA;False;False
Williamson County Constable's Office - Precinct 2;TX;False;False
Oklahoma City Police Department;OK;False;False
Oceanside Police Department;CA;False;False
Tulare County Sheriff's Office;CA;False;False
Denver Police Department;CO;False;False
Laconia Police Department;NH;False;False
Benzie County Sheriff's Department;MI;False;False
Fort Bend County Sheriff's Office;TX;False;False
Pelham Police Department;GA;False;False
Pensacola Police Department;FL;False;False
Tyler County Constable's Office - Precinct 2;TX;False;False
Polk County Sheriff's Office;TX;False;False
Jefferson County Sheriff's Office;AL;False;False
Canton Police Department;MO;False;False
Trenton Police Department;KY;False;False
Gila County Sheriff's Office;AZ;False;False
Petersburg Police Department;VA;False;False
Butler Police Department;MO;False;False
Brazos County Constable's Office - Precinct 1;TX;False;False
Jesup Police Department;GA;False;False
Christy Township Constable's Office;IL;False;False
Bisbee Police Department;AZ;False;False
Wakenda Marshal's Office;MO;False;False
Lebanon Police Department;PA;False;False
Brunswick Police Department;GA;False;False
Atlantic City Police Department;NJ;False;False
Knox County Sheriff's Office;KY;False;False
Vernon Police Department;TX;False;False
Cooper County Sheriff's Department;MO;False;False
Ware County Sheriff's Office;GA;False;False
Pontiac Police Department;IL;False;False
Hardin County Tenth District Constable's Office;TN;False;False
Oshkosh Police Department;WI;False;False
Bingham County Constable's Office;ID;False;False
Old Colony Railroad Police Department;RR;False;False
El Reno Police Department;OK;False;False
Falmouth Police Department;KY;False;False
Helenwood Police Department;TN;False;False
Kingston Police Department;TN;False;False
Marion County Sheriff's Department;TX;False;False
Pennsylvania State Constable - Huntingdon County;PA;False;False
Guin Police Department;AL;False;False
Hardinsburg Police Department;KY;False;False
Kennett Police Department;MO;False;False
Gainesville Police Department;GA;False;False
Oklahoma County Sheriff's Office;OK;False;False
Bells Police Department;TX;False;False
Rogers Police Department;AR;False;False
Pierce City Police Department;MO;False;False
Junction City Police Department;KY;False;False
Tyler County Sheriff's Office;TX;False;False
Red River County Sheriff's Department;TX;False;False
Orange Police Department;TX;False;False
Yavapai County Constable's Office;AZ;False;False
Chester Police Department;SC;False;False
Nassau County Sheriff's Office;FL;False;False
Youngstown Police Department;OH;False;False
Strafford County Sheriff's Office;NH;False;False
Logan Police Department;KS;False;False
Madison County Detention Center;KY;False;False
Pocahontas Police Department;VA;False;False
Des Moines Police Department;IA;False;False
McComb Police Department;MS;False;False
